TEMPERATURE (CELSIUS),Concentration,Control / Treatment,Target measure (mm)
14.345046798340125,-3.3836038872206897,placebo,12.26024501459572
9.505351815606216,-4.101965971469951,placebo,4.218096410981497
10.172708206657695,-4.8491679450308,placebo,3.5499033944232092
16.097903596866352,-6.074318809062422,placebo,8.97610035673849
7.959772145756059,-3.268013657468581,placebo,3.8828637160866597
10.706024528561615,-3.781483792390286,placebo,6.51201714953858
11.468109910099738,-1.9140118130428756,placebo,11.462523571244606
10.296885187796573,-4.690254897531717,placebo,4.051259718708769
10.601542640039657,-4.053237154477791,placebo,5.8002845396501765
10.285808276894368,-1.8610613696984517,placebo,9.977612297440649
10.245521153798625,-4.05286970396651,placebo,5.320427179298473
11.939761403778123,-5.126477979346358,placebo,5.353074138473115
13.909224510920156,-2.7444964727593506,placebo,13.014010496947577
11.02842217328824,-0.7802851489418687,placebo,13.2497711211612
13.630388300958668,-3.517781211176319,placebo,11.013683662823933
10.017114691295639,-2.9541024398840587,placebo,7.319489709492591
14.438763652592582,-3.2169148765655287,placebo,12.736809690212377
10.93284902870459,-2.713732288923462,placebo,9.060508382011927
12.310541799037566,-2.656083383520302,placebo,11.041456323308081
10.612803452533774,-2.812184978424407,placebo,8.42169620622934
13.031933864208515,-5.522072153225734,placebo,5.996759194907456
14.358781966318668,-4.473333429923846,placebo,9.990355451690126
10.285912029950515,-5.692241298994508,placebo,1.932274512544728
13.233830155002131,-6.737204598428651,placebo,3.7175410525527113
14.370107898275835,-6.068778109863461,placebo,6.655211631959109
10.991560796030495,-5.685236643160703,placebo,2.899610124003692
8.631930760831317,-8.102884334096988,placebo,-5.362950574481397
14.176546378458628,-5.3211918303307755,placebo,7.963834767224519
12.42217605437223,-5.945485547685061,placebo,4.284418023263884
13.911576862893241,-3.980836198472471,placebo,10.420872748113688
12.387527637527207,-5.073055578360526,placebo,6.069745596104626
10.833946774751945,-0.6684797551537272,placebo,13.2220206600923
9.690731969639511,-5.134969665620152,placebo,2.299051861211021
14.970349933234385,-1.4075063955261093,placebo,17.25420897926159
9.434461969707836,-3.5889485549917426,placebo,5.199731693622921
8.620486718396647,-4.40414926094164,placebo,2.3889436218580293
10.655742166043206,-4.959789473149441,placebo,3.9696940305445025
12.425172583998583,-5.069185342416916,placebo,6.128693769322565
9.954533722393386,-2.6481619394014366,placebo,7.877480452488054
16.399772322681315,-0.9847249798199078,placebo,20.07177017799797
13.247232353157766,-4.286362076167768,placebo,8.882403316810672
10.92691760393985,-5.213797099339047,placebo,3.8023648567068005
10.812850789844592,-3.371487254420338,placebo,7.517225332007491
13.900417625095479,-5.344148085459411,placebo,7.542852814414134
12.354246162889366,-2.473122022344963,placebo,11.484676072976221
11.614612449012194,-4.771950949463421,placebo,5.658629812293277
10.418122763962055,-4.667325034485291,placebo,4.263083158929664
11.38452780955185,-2.0591690447761324,placebo,11.04485754886512
11.11163902266234,-7.629319359858055,placebo,-1.020857975107754
12.110459636466523,-5.463865653434574,placebo,4.8750026370172
9.266318830692079,-4.350072854433489,placebo,3.3743774271239797
10.15909556323347,-5.086864550470452,placebo,3.0323634543772346
14.43984213552229,-2.5089925283423153,placebo,14.224902573436228
15.596250256770356,-5.273301009785752,placebo,9.9810057260899
11.585776415659938,-5.046305179305383,placebo,5.043557284599613
15.078815852795854,-2.9638822974032277,placebo,14.132248576727626
9.649278672411093,-3.7984416002009964,placebo,5.049798847332884
11.91828914526382,-2.4648604341767246,placebo,10.913483434335038
8.767722217784554,-1.2346162784972199,placebo,9.243730809164987
13.92583525662775,-4.358931044182825,placebo,9.646122403663531
11.844200796884026,-1.0393590303307092,placebo,13.807017112098947
10.284683111310336,-3.330735478998349,placebo,6.8897776943724205
11.755904256162477,-5.210705254472936,placebo,4.927989711426179
9.853274414932276,-2.8358499638430614,placebo,7.346635536088145
9.32957742121833,-1.663189739866807,placebo,9.102231064924453
14.381329735290047,-3.4751793269630418,placebo,12.11691855601918
9.321742919281544,-6.036052369645356,placebo,-0.09135703522516359
13.885762912994137,-3.3005447577235874,placebo,11.814635941322551
15.413646111690404,-3.7135097127387056,placebo,13.010051854030767
12.736382076625713,-5.191099327007401,placebo,6.292807216729171
10.902362934717932,-3.8306932435510066,placebo,6.673734150412095
11.564274676192579,-4.536978620263254,placebo,6.084115710307149
11.125644600833878,-5.414095161741183,placebo,3.650020371469253
11.3694125427696,-4.853458442031663,placebo,5.15644420447247
13.600332504103394,-2.21357762601994,placebo,13.711935865897708
14.26585911138164,-4.24961139987602,placebo,10.334725860625575
8.583011427192265,-3.8639367297338287,placebo,3.4727982942685163
10.634489664533163,-4.150903377399002,placebo,5.639663954581865
13.560790940015341,-3.75392012953656,placebo,10.423835496993934
12.340939481739671,-4.378232401754859,placebo,7.46598025666335
12.95479600285797,-3.8301185717454698,placebo,9.445725603192773
14.735666682636523,-5.402101969399359,placebo,8.548735885820653
11.64869664067904,-2.2517874050486992,placebo,10.996986914314435
11.748718230893965,-3.841019778337227,placebo,7.794628077198679
14.632167487630776,-2.6784683477912363,placebo,14.128642577939953
12.862135148579538,-4.466091289475619,placebo,7.985090742683576
13.579247445345759,-5.982715989737842,placebo,5.768280472767307
12.05392205391563,-4.885936332085432,placebo,6.012328475406692
11.37348990193604,-3.67839852216731,placebo,7.629574471062304
14.331476305656137,-3.6245060313637167,placebo,11.736030346771983
11.886659922312578,0.41332231943511566,placebo,16.914967765935724
12.621170959579247,-3.7404773714768846,placebo,9.183578315330529
13.69457114920037,-4.79607680492194,placebo,8.415909761084425
15.004146104601872,-3.0647208742916785,placebo,13.819683405200006
12.76808976904068,-2.9347043210405634,placebo,11.074042114019733
10.25560388525719,-5.383073972668201,placebo,2.540609902493985
11.410137141588033,-2.9547435801153425,placebo,9.198723622901625
11.758298152359579,-1.714552828657323,placebo,12.273141565505053
15.53231477197575,-2.959409903148992,placebo,14.753864145554381
10.510447958194916,-2.218752240432686,placebo,9.529725038654497
9.321029274762164,-2.1478413662214506,placebo,8.072922651863877
11.128808892258785,-4.530328463994474,placebo,5.5102022301609654
14.410216492590635,-5.445813035528588,placebo,8.01758489038732
10.110874583605357,-3.228356708332675,placebo,6.870131600368616
13.598818889075261,-4.992056909636571,placebo,7.875085990014803
11.913329095250068,-4.129291464525701,placebo,7.411482203083622
13.096476075838375,-4.417514998318707,placebo,8.40346120591252
11.09432702554,-7.743812863353442,placebo,-1.2846655285632274
11.474694950426311,-4.017544560459431,placebo,7.053994606110717
10.51268674924532,-6.824603850967085,placebo,-0.13954097554969636
13.924377062642671,-1.5230114341787386,placebo,15.599585022792255
11.621151059723319,-2.6470894383322525,placebo,10.12966611012875
12.432754653956794,-3.5448320710525336,placebo,9.340071433631351
12.029610559208649,-2.40836506580757,placebo,11.18240761673578
11.210293853149649,-3.0428310279777406,placebo,8.743951542998772
12.505342534599,-4.1301640317221775,placebo,8.208867955092078
9.445106141476735,-2.0612342500952185,placebo,8.422301365793635
11.692685242639374,-3.9955913626621475,placebo,7.394383215972647
14.246786202935638,-3.157276370955124,placebo,12.602880994957353
12.138276994935193,-4.065219679223266,placebo,7.849712616793655
14.981669735533462,-4.364968644159154,placebo,11.058819990235952
12.793111043616697,-2.8350815018427493,placebo,11.317028755012768
10.661470777298424,-4.294967777769702,placebo,5.3735532160365
14.140358335364173,-3.7769763856549647,placebo,11.157833342866208
12.13031382337512,-2.470516459983414,placebo,11.187839095591244
11.42467877651323,-4.6745661639847125,placebo,5.606727403924966
12.899876097372436,-4.925662913570402,placebo,7.070940612954946
16.674725026340205,-5.661266322851282,placebo,10.622219507571586
12.549671815017282,-5.820941397367349,placebo,4.718080015801899
13.56045165338475,-3.212387704236186,placebo,11.560595553173421
14.170621679990546,-4.927162591624764,placebo,8.783297825575234
10.957307739326012,-2.2550921854848993,placebo,10.056671858571828
9.523214026819888,-2.5343645030770268,placebo,7.534173479745093
8.654036149360941,-2.9008612767940516,placebo,5.591140120369763
11.289547043026962,-4.5457125997608525,placebo,5.694892048588608
13.730989185244402,-3.512584839560084,placebo,11.160407237003767
14.513851253951847,-7.406113946293781,placebo,4.040859905618053
13.347280330544724,-6.129606086484725,placebo,5.146655664617455
13.678966847854428,-3.6965786286666713,placebo,10.703790124403469
11.856389512119774,-4.831469054638627,placebo,5.86004082662058
12.408953933870029,-4.147023385516597,placebo,8.043338701139685
14.523772877317306,-3.2352020725118673,placebo,12.813169032103442
8.232539087610144,-4.123523352884151,placebo,2.454528727216978
11.932585615062148,-5.670565240817421,placebo,4.200803574617318
14.460642274607292,-2.9959702350177246,placebo,13.230329577182625
9.382631175944407,-6.182406713197368,placebo,-0.31650201018952373
14.435084820249191,-5.355047374019801,placebo,8.241765021894826
13.780686807411131,-7.350240492945697,placebo,3.168422154819062
12.412929782073297,-2.0464796310415165,placebo,12.459847980611766
12.202742621077036,-5.734309467510455,placebo,4.4316526566820436
13.626852513846341,-6.479162933993161,placebo,4.790008732306923
13.138738215545565,-2.8243069007352535,placebo,11.806252099442482
11.050393155478861,-4.556760304448361,placebo,5.348834120554905
11.344169708895071,-0.8580713887313189,placebo,13.512679190672577
10.893553772692504,-3.438393121597497,placebo,7.485672037780139
12.90936556232973,-1.9722238292343888,placebo,13.285973467752921
12.552731421217624,-3.895038078537916,placebo,8.766607453714167
11.757302756266023,-3.900317435219805,placebo,7.6816921069975415
14.925625541954961,-3.160830809740366,placebo,13.511849781184429
13.41645365110919,-3.4152245617004198,placebo,10.940240849426527
10.320887838579281,-1.2321029523611284,placebo,11.345782382123662
12.649466330765506,-3.322996458378423,placebo,10.098486983938745
10.01779965757924,-4.09048834543563,placebo,4.93400401231715
12.112120807333548,-2.714576149289569,placebo,10.650753176392197
7.639662283556648,-1.9160175890501083,placebo,6.289907145796248
14.117023412694712,-4.848533768359525,placebo,8.876060693582858
12.91924558142597,-5.543656056458019,placebo,5.799303816363221
9.862843592100269,-3.7353652359130356,placebo,5.470571853917989
14.035939300065936,-2.889655268132307,placebo,12.88024199201117
11.178846216119686,-2.6348928079023213,placebo,9.5581674951667015
10.62438949733177,-4.528520002369169,placebo,4.833033816422633
9.735993936686478,-4.1308790983276165,placebo,4.468745708038751
12.22365236976639,-4.912614524641057,placebo,6.185440197438405
10.630608239460235,-4.670344217696106,placebo,4.5435982661094965
11.847285028424666,-1.6252406744818595,placebo,12.580829371961396
13.746694322188707,-3.1649617330268702,placebo,11.91161769559833
16.048781376194697,-6.201394363300224,placebo,8.642926694932372
13.008642240975266,-7.344200722587146,placebo,2.1388455078836017
12.715878517289566,-3.4426523314592274,placebo,9.936866102276538
13.500427715461756,-3.81338724485556,placebo,10.217464201676695
9.601550285693058,-6.193637371797076,placebo,-0.04454559508822875
11.309111144819992,-5.063078791682696,placebo,4.634834582973328
10.498211825281562,-1.0872809497230014,placebo,11.889295969711807
13.117478928647865,-3.4668781845387757,placebo,10.428152366143188
10.798588219758662,-3.6368049876475648,placebo,6.9408036226143075
7.998325729036183,-5.877338128321142,placebo,-1.5446703352755513
12.70193178897894,-3.9962386311798546,placebo,8.755506789643874
11.70814534499354,-4.538194696367424,placebo,6.275787353369688
16.08383534090788,-3.383050458298457,placebo,14.608771747798876
14.108691824883477,-5.048891882727001,placebo,8.444061009865994
11.68861368389575,-5.625459381757448,placebo,3.966163771568624
10.010624992986317,-3.7442832966714317,placebo,5.651348817521523
11.947333257433673,-2.782713953188126,placebo,10.285200595840394
9.763585350324384,-4.7154045029100295,placebo,3.278490766826856
11.32114909892741,-3.515343749005144,placebo,7.9013294106412015
13.25229885473251,-3.9575029582842376,placebo,9.57984724149199
12.309820682782489,-3.3815925493964962,placebo,9.516913568023718
14.249323384672321,-4.978111063387849,placebo,8.78255333619315
8.639525656907587,-3.808693732991406,placebo,3.66510279754329
11.045004910209974,-5.731467329349249,placebo,2.8746752371500435
12.04873063660006,-4.672123215558825,placebo,6.45432760673655
11.84539126243596,-2.065931073010696,placebo,11.652822950966087
11.36918266859652,-1.9125782735020591,placebo,11.331982228250979
6.695842935680803,-2.5842164628248074,placebo,3.6125333912369877
16.798336421338583,-1.870078498935325,placebo,18.750589321042906
10.78549815365537,-5.0984309639121435,placebo,3.8537174832192473
11.077463308791826,-5.492778380074311,placebo,3.4197408687129105
7.658811836729264,-3.267281234954245,placebo,3.4781053861805926
13.039036071335437,-3.778067253641474,placebo,9.668757463655744
10.384741447402146,-3.1617168144179795,placebo,7.379795643715141
11.37357937437926,-5.771283350926826,placebo,3.234637118465667
10.747230145096701,-4.468269890120336,placebo,5.12539392662784
10.815690799170305,-4.615409792275105,placebo,4.908822015102192
10.092120409619183,-4.113650663371108,placebo,4.985696159906569
14.17226805078443,-0.26227812565053643,placebo,18.581777804692855
13.165585931946524,-4.150825114893458,placebo,9.056808266851545
12.477185178727071,-6.005817143126988,placebo,4.23198399071487
10.436468790385874,-5.218393109402548,placebo,3.1306073372755794
11.996958300051565,-5.4568605260083,placebo,4.736486600452185
10.2162479014026,-1.0819336187642241,placebo,11.51987406748864
10.784768416166171,-2.3913393912560186,placebo,9.537624640186694
12.047976535360098,-5.017162173452719,placebo,5.728727758485425
10.315964518996555,-4.2723414805967135,placebo,4.954634991392252
10.675905953581541,-2.071077974630579,placebo,10.063209290610864
10.223216658952806,-6.013252600590339,placebo,1.1735120283465772
14.498615855478294,-5.200384514743366,placebo,8.65232392393463
13.037544808842846,-1.7792211303605407,placebo,13.864321118180706
11.47598208790081,-2.62913467213058,placebo,9.971393007191876
13.801971434930305,-5.5004176435727485,placebo,7.081784385653142
13.77910818347923,-5.6880200636374445,placebo,6.656953914058327
6.2912751770863,-6.82837452980746,placebo,-5.846365023529163
15.166643619346859,-2.319872018798864,placebo,15.603237646640647
12.43930452267954,-1.542464607851871,placebo,13.55388542912845
11.90583510004376,-5.367661892463261,placebo,4.800787410886228
11.017560265555936,-3.967357500017961,placebo,6.542255608462796
11.018430846165666,-3.38025713559884,placebo,7.776341657566086
14.145304997584883,-5.254027431128187,placebo,8.0627041413704
8.103049461687636,-2.2291969556750493,placebo,6.257803166360706
16.694396594093718,-4.343493052345187,placebo,13.416099992101627
11.374986188641326,-3.3907527041135412,placebo,8.235650676027355
8.898087944982583,-3.125703932873857,placebo,5.4484404666913875
13.2432121986505,-4.805038355637139,placebo,7.7877559213401835
12.821658246084086,-3.5191227789554063,placebo,9.919080796407165
9.98152293199283,-4.364030820335609,placebo,4.310591235485543
11.544655561978308,-1.6094338726531632,placebo,12.205473876099074
14.509271333389329,-3.8900874926023628,placebo,11.418332565610633
11.641795046035082,-4.8812370113878885,placebo,5.465825588232795
10.613876703667001,-2.2226351784038947,placebo,9.661199675302274
12.897539167662362,-5.662698289721025,placebo,5.520011467930036
11.955382739909165,-4.3396071025074905,placebo,7.026591783611643
13.0361620250873,-1.6416171262751078,placebo,14.151422768690129
